,premise,hypothesis,label
44,"મારો મતલબ કે તેઓને માત્ર પાંચ બાળકો હતા, જેમાંથી એકનું મૃત્યુ થયું હતું.",મૃત્યુ પામનાર બાળક બીમાર જન્મ્યો હતો.,1
45,"અને, અલબત્ત, એન્ડ્રોવ ગ્રોમિકોવે કંઈપણ જવાબ આપ્યો ન હતો, પરંતુ અમારી પાસે U2 દ્વારા લેવામાં આવેલી ફિલ્મોની બધી માહિતી હતી.",U2 એ ઘણી બધી ફિલ્મ લીધી.,0
46,"અને, અલબત્ત, એન્ડ્રોવ ગ્રોમિકોવે કંઈપણ જવાબ આપ્યો ન હતો, પરંતુ અમારી પાસે U2 દ્વારા લેવામાં આવેલી ફિલ્મોની બધી માહિતી હતી.",U2 એ પાણીની નીચેથી એક ટન ફિલ્મ લીધી.,1
47,"અને, અલબત્ત, એન્ડ્રોવ ગ્રોમિકોવે કંઈપણ જવાબ આપ્યો ન હતો, પરંતુ અમારી પાસે U2 દ્વારા લેવામાં આવેલી ફિલ્મોની બધી માહિતી હતી.","અમારી પાસે કોઈ ફૂટેજ નહોતું, તેથી અમારે માત્ર અનુમાન લગાવવાનું હતું.",2
48,"તેણીએ કહ્યું કે તેની આંખોમાંથી ફક્ત આંસુ આવી રહ્યા છે અને તેણીએ કહ્યું, પછી તેણીએ કહ્યું કે જૉ મંડપ પર આવ્યો.",તેણીએ તેને મંડપમાં આવવા કહ્યું તેમ તેણીની આંખોમાં આંસુ હતા.,0
49,"તેણીએ કહ્યું કે તેની આંખોમાંથી ફક્ત આંસુ આવી રહ્યા છે અને તેણીએ કહ્યું, પછી તેણીએ કહ્યું કે જૉ મંડપ પર આવ્યો.",જૉને મંડપમાંથી ઉડાડીને તેણે ઝડપથી આંસુ લૂછ્યા.,2
50,"તેણીએ કહ્યું કે તેની આંખોમાંથી ફક્ત આંસુ આવી રહ્યા છે અને તેણીએ કહ્યું, પછી તેણીએ કહ્યું કે જૉ મંડપ પર આવ્યો.",જૉને જોઈને તે એટલી ખુશ થઈ ગઈ કે તે રડવા લાગી.,1
51,"જો વિમાનમાં આગ લાગી હોય તો પણ, તે શા માટે, ઉહ, બળી જશે અને રેડિયેશન બહાર નીકળવા માટે તે લીડ ઘટક દ્વારા પીગળી જશે.",રેડિયેશન આગ દરમિયાન પણ સમાવી શકાય છે.,1
52,"જો વિમાનમાં આગ લાગી હોય તો પણ, તે શા માટે, ઉહ, બળી જશે અને રેડિયેશન બહાર નીકળવા માટે તે લીડ ઘટક દ્વારા પીગળી જશે.",એરક્રાફ્ટ સળગી ગયા પછી લીડ કમ્પોનન્ટમાંથી રેડિયેશન લીક થશે.,0
53,"જો વિમાનમાં આગ લાગી હોય તો પણ, તે શા માટે, ઉહ, બળી જશે અને રેડિયેશન બહાર નીકળવા માટે તે લીડ ઘટક દ્વારા પીગળી જશે.",આગ દરમિયાન રેડિયેશન બહાર નીકળશે નહીં.,2
54,"આ છે ચીફ માસ્ટર સાર્જન્ટ ક્લેમ ફ્રાન્સિસ, યુએસ એરફોર્સમાંથી નિવૃત્ત થયા છે.",ચીફ યુએસ એરફોર્સમાંથી નિવૃત્ત છે.,0
55,"આ છે ચીફ માસ્ટર સાર્જન્ટ ક્લેમ ફ્રાન્સિસ, યુએસ એરફોર્સમાંથી નિવૃત્ત થયા છે.",ચીફ થોડા અઠવાડિયા પહેલા જ નિવૃત્ત થયા છે.,1
56,"આ છે ચીફ માસ્ટર સાર્જન્ટ ક્લેમ ફ્રાન્સિસ, યુએસ એરફોર્સમાંથી નિવૃત્ત થયા છે.",યુએસ એરફોર્સ ચીફે આ અઠવાડિયે જ તેમની કારકિર્દીની શરૂઆત કરી હતી.,2
57,અઠવાડિયે બે કે ત્રણ એરક્રાફ્ટ આવે છે ત્યાં સુધી પહોંચ્યું અને મને ખબર ન હતી કે તેઓ ક્યાં જઈ રહ્યાં છે.,દર અઠવાડિયે એકથી વધુ એરક્રાફ્ટ આવે છે.,0
58,અઠવાડિયે બે કે ત્રણ એરક્રાફ્ટ આવે છે ત્યાં સુધી પહોંચ્યું અને મને ખબર ન હતી કે તેઓ ક્યાં જઈ રહ્યાં છે.,એરક્રાફ્ટ ટ્રાફિકમાં વધારો મુશ્કેલીરૂપ છે.,1
59,અઠવાડિયે બે કે ત્રણ એરક્રાફ્ટ આવે છે ત્યાં સુધી પહોંચ્યું અને મને ખબર ન હતી કે તેઓ ક્યાં જઈ રહ્યાં છે.,ત્યાં ક્યારેય કોઈ વિમાન આવતું નથી.,2
60,તેઓએ પહેલાથી જ ફુલ પ્રેશર સૂટની તાલીમ લીધી હતી અને જો તમે ફુલ પ્રેશર સૂટમાં જશો તો મને થોડો સમય લાગશે.,સંપૂર્ણ પ્રેશર સૂટના ઉપયોગની તાલીમ પૂર્ણ કરવામાં ત્રણ મહિના જેટલો સમય લાગે છે.,1
61,તેઓએ પહેલાથી જ ફુલ પ્રેશર સૂટની તાલીમ લીધી હતી અને જો તમે ફુલ પ્રેશર સૂટમાં જશો તો મને થોડો સમય લાગશે.,સંપૂર્ણ પ્રેશર સૂટનો ઉપયોગ કરવાની તાલીમમાં સમય લાગે છે.,0
62,તેઓએ પહેલાથી જ ફુલ પ્રેશર સૂટની તાલીમ લીધી હતી અને જો તમે ફુલ પ્રેશર સૂટમાં જશો તો મને થોડો સમય લાગશે.,અમે તમને દિવસના અંત સુધીમાં સંપૂર્ણ પ્રેશર સૂટનો ઉપયોગ કરવાની તાલીમ આપી શકીએ છીએ.,2
63,હું કહેવા માંગુ છું કે બોમ્બ સાથે અંદર જવાનો કોઈ ખતરો ન હતો કારણ કે તે જમીન પર ગમે તેટલો સખત અથડાયો હોય તો પણ તે ફૂટશે નહીં.,પાયલોટે બોમ્બને નિષ્ક્રિય કરી દીધો હતો.,1
64,હું કહેવા માંગુ છું કે બોમ્બ સાથે અંદર જવાનો કોઈ ખતરો ન હતો કારણ કે તે જમીન પર ગમે તેટલો સખત અથડાયો હોય તો પણ તે ફૂટશે નહીં.,બોમ્બ ફૂટવાની કોઈ શક્યતા નહોતી.,0
65,હું કહેવા માંગુ છું કે બોમ્બ સાથે અંદર જવાનો કોઈ ખતરો ન હતો કારણ કે તે જમીન પર ગમે તેટલો સખત અથડાયો હોય તો પણ તે ફૂટશે નહીં.,બોમ્બ વિસ્ફોટનો મોટો ભય હતો.,2
66,અને હું જે કરવાનો પ્રયાસ કરી રહ્યો છું તે બરાબર કેવી રીતે લાગે છે.,મને ખાતરી નથી કે આ તમને કેવું લાગે છે.,2
67,અને હું જે કરવાનો પ્રયાસ કરી રહ્યો છું તે બરાબર કેવી રીતે લાગે છે.,"હું આ કરવાનો પ્રયાસ કરી રહ્યો છું, દેખીતી રીતે.",0
68,અને હું જે કરવાનો પ્રયાસ કરી રહ્યો છું તે બરાબર કેવી રીતે લાગે છે.,હું આગામી સપ્તાહમાં મારો પ્રોજેક્ટ પૂરો કરવાનો પ્રયાસ કરી રહ્યો છું.,1
69,"પરંતુ કોઈપણ રીતે, પ્રાણીઓ હંમેશા છૂટા પડી જતા, ખાસ કરીને બકરીઓ.",બકરીઓ રોજ કોઠારમાંથી ભાગી જતી.,1
70,"પરંતુ કોઈપણ રીતે, પ્રાણીઓ હંમેશા છૂટા પડી જતા, ખાસ કરીને બકરીઓ.",બકરીઓ વારંવાર ભાગી જતી.,0
71,"પરંતુ કોઈપણ રીતે, પ્રાણીઓ હંમેશા છૂટા પડી જતા, ખાસ કરીને બકરીઓ.",બકરાંને સલામત અને સલામત રાખવામાં આવ્યાં હતાં.,2
72,અમે અંદર ગયા ત્યારે દરવાજા બંધ હતા.,બધા દરવાજા ખુલ્લા હતા.,2
73,અમે અંદર ગયા ત્યારે દરવાજા બંધ હતા.,અમારી પાસે ચાવીઓ હતી.,1
74,અમે અંદર ગયા ત્યારે દરવાજા બંધ હતા.,દરવાજા બંધ હોવા છતાં અમે અંદર ગયા.,0
75,તેથી મારે ફક્ત ટોટલ લેવાનું હતું અને તેને તે રીતે આકૃતિ કરવાનો પ્રયાસ કરવો પડ્યો હતો.,મને વિશ્વાસ છે કે આને સમજવા માટે મારે માત્ર એટલું જ જોઈએ છે.,1
76,તેથી મારે ફક્ત ટોટલ લેવાનું હતું અને તેને તે રીતે આકૃતિ કરવાનો પ્રયાસ કરવો પડ્યો હતો.,"મને કંઈ ખબર નથી કે માત્ર ટોટલ સાથે શું કરવું જોઈએ, કૃપા કરીને આ ગડબડને સમજવા માટે મને વધુ વિગતો આપો.",2
77,તેથી મારે ફક્ત ટોટલ લેવાનું હતું અને તેને તે રીતે આકૃતિ કરવાનો પ્રયાસ કરવો પડ્યો હતો.,હું તેની ગણતરી ટોટલના આધારે કરીશ.,0
78,"તે આવ્યો, તેણે દરવાજો ખોલ્યો અને મને યાદ છે કે તેણે પાછળ જોયું અને તેના ચહેરા પરના હાવભાવ જોયા, અને હું કહી શકું કે તે નિરાશ હતો.",તે એટલો ઉત્સાહિત અને આનંદથી છલકાતો હતો કે તેણે વ્યવહારીક રીતે તેની ફ્રેમમાંથી દરવાજો ખખડાવ્યો.,2
79,"તે આવ્યો, તેણે દરવાજો ખોલ્યો અને મને યાદ છે કે તેણે પાછળ જોયું અને તેના ચહેરા પરના હાવભાવ જોયા, અને હું કહી શકું કે તે નિરાશ હતો.",તે અમને દોષિત ન લાગે તેવો પ્રયાસ કરી રહ્યો હતો પરંતુ અમે જાણતા હતા કે અમે તેને મુશ્કેલીમાં મૂક્યા હતા.,1
80,"તે આવ્યો, તેણે દરવાજો ખોલ્યો અને મને યાદ છે કે તેણે પાછળ જોયું અને તેના ચહેરા પરના હાવભાવ જોયા, અને હું કહી શકું કે તે નિરાશ હતો.",જ્યારે તે દરવાજામાંથી આવ્યો ત્યારે તેના ચહેરા પરના દેખાવથી જ મને ખબર પડી કે તેને નીચે ઉતારવામાં આવ્યો હતો.,0
81,"તેથી, મારી પાસે કોઈ ચોક્કસ વાર્તાઓ નથી.",મારી પાસે કોઈ ખાસ સ્ટોર નથી.,0
82,"તેથી, મારી પાસે કોઈ ચોક્કસ વાર્તાઓ નથી.",મારી પાસે 1 વિશિષ્ટ સ્ટોર છે.,2
83,"તેથી, મારી પાસે કોઈ ચોક્કસ વાર્તાઓ નથી.",ત્યાં ઘણા બધા સ્ટોર્સ છે.,1
84,"અને તે હતું, તેણે ખરેખર પોતાના માટે ક્યારેય કંઈ કરવાનું નહોતું.",તેને ઘણી મદદ મળે છે.,0
85,"અને તે હતું, તેણે ખરેખર પોતાના માટે ક્યારેય કંઈ કરવાનું નહોતું.",તેને તેના ભોજન અને કપડાંમાં મદદ મળે છે.,1
86,"અને તે હતું, તેણે ખરેખર પોતાના માટે ક્યારેય કંઈ કરવાનું નહોતું.",તે ખૂબ જ સ્વતંત્ર છે.,2
87,"તો હું એવું છું, ઓહ માય ગોશ, અને રામોના ત્યાં ઊભી હતી.",રામોના ફ્લોર પર ગર્ભની સ્થિતિમાં વળાંકવાળી હતી.,2
88,"તો હું એવું છું, ઓહ માય ગોશ, અને રામોના ત્યાં ઊભી હતી.",રમોના ચૂપચાપ મારો ન્યાય કરી રહી હતી.,1
89,"તો હું એવું છું, ઓહ માય ગોશ, અને રામોના ત્યાં ઊભી હતી.",જ્યારે હું ત્યાં હતો ત્યારે રામોના સીધી હતી.,0
90,અને હકીકત એ છે કે તેણી પ્રકાશ હતી!,"તેણીએ ઘણો ખોરાક ખાધો, પરંતુ તેમ છતાં તેનું વજન ઓછું રાખ્યું.",1
91,અને હકીકત એ છે કે તેણી પ્રકાશ હતી!,તેણીનું વજન બિલકુલ ન હતું.,0
92,અને હકીકત એ છે કે તેણી પ્રકાશ હતી!,તે ખૂબ જ ખુશ હતો.,2
93,તે પછી તે ઓગસ્ટામાં રહ્યો કે કેમ તે મને ખબર નથી.,હુમલાઓ પછી પણ તે ઓગસ્ટામાં રહેવાનું ચાલુ રાખ્યું.,1
94,તે પછી તે ઓગસ્ટામાં રહ્યો કે કેમ તે મને ખબર નથી.,તે ઓગસ્ટામાં રહેવાનું ચાલુ રાખ્યું.,0
95,તે પછી તે ઓગસ્ટામાં રહ્યો કે કેમ તે મને ખબર નથી.,તે તરત જ ઓગસ્ટાની બહાર ગયો.,2
96,"અમે જે કર્યું તે, તેઓએ અમને કોઈ પણ સ્થાન જણાવ્યું ન હતું કે તેઓ ક્યાં જઈ રહ્યા હતા, જ્યારે તેઓ થોડા સમય માટે રહેવા માટે બીજે ક્યાંક જવા માટે બેઝ છોડ્યા ત્યારે પણ.",મેં ક્યારેય પૂછ્યું નથી કે તેઓ ક્યાં જઈ રહ્યા છે.,1
97,"અમે જે કર્યું તે, તેઓએ અમને કોઈ પણ સ્થાન જણાવ્યું ન હતું કે તેઓ ક્યાં જઈ રહ્યા હતા, જ્યારે તેઓ થોડા સમય માટે રહેવા માટે બીજે ક્યાંક જવા માટે બેઝ છોડ્યા ત્યારે પણ.",તેઓ હંમેશા અમને જણાવે છે કે તેઓ ક્યાં હતા અને તેઓ ક્યાં જઈ રહ્યા હતા.,2
98,"અમે જે કર્યું તે, તેઓએ અમને કોઈ પણ સ્થાન જણાવ્યું ન હતું કે તેઓ ક્યાં જઈ રહ્યા હતા, જ્યારે તેઓ થોડા સમય માટે રહેવા માટે બીજે ક્યાંક જવા માટે બેઝ છોડ્યા ત્યારે પણ.",તેઓએ અમને ક્યારેય કહ્યું કે તેઓ ક્યાં જઈ રહ્યા છે.,0
99,"તેઓએ કહ્યું, અમે તમારા રહેવા માટે જગ્યા માટે ચૂકવણી કરી રહ્યા છીએ.",તેઓ ફોરસ માટે કંઈપણ ચૂકવશે નહીં.,2
100,"તેઓએ કહ્યું, અમે તમારા રહેવા માટે જગ્યા માટે ચૂકવણી કરી રહ્યા છીએ.",તેઓ મારા અને મારા ભાઈ-બહેનો માટે આવાસ માટે ચૂકવણી કરી રહ્યાં છે.,1
101,"તેઓએ કહ્યું, અમે તમારા રહેવા માટે જગ્યા માટે ચૂકવણી કરી રહ્યા છીએ.",તેઓ આવાસ માટે ચૂકવણી કરી રહ્યાં છે.,0
102,"ઠીક છે, બીજા દિવસે, અલબત્ત, પ્રમુખ કેનેડી, ઉહ, ક્યુબાની નાકાબંધી કરી, અને, ઉહ, અમારા જહાજોએ એક રશિયન જહાજને અટકાવ્યું જે ક્યુબાની બહાર જતું હતું, અને તેમને તેમના પર મિસાઇલો મળી.",કેનેડીએ અમારા સૈનિકોને મિસાઇલો શોધવાનું કહ્યું.,0
103,"ઠીક છે, બીજા દિવસે, અલબત્ત, પ્રમુખ કેનેડી, ઉહ, ક્યુબાની નાકાબંધી કરી, અને, ઉહ, અમારા જહાજોએ એક રશિયન જહાજને અટકાવ્યું જે ક્યુબાની બહાર જતું હતું, અને તેમને તેમના પર મિસાઇલો મળી.",તેઓએ કોઈ જહાજ રોક્યા ન હતા કારણ કે તેઓ સંઘર્ષ ઇચ્છતા ન હતા.,2
104,"ઠીક છે, બીજા દિવસે, અલબત્ત, પ્રમુખ કેનેડી, ઉહ, ક્યુબાની નાકાબંધી કરી, અને, ઉહ, અમારા જહાજોએ એક રશિયન જહાજને અટકાવ્યું જે ક્યુબાની બહાર જતું હતું, અને તેમને તેમના પર મિસાઇલો મળી.",તેમને જહાજ પર 20 મિસાઇલો મળી.,1
105,ગમે તેમ કરીને માણસ અંદર આવે છે.,તે માણસ કોર્ટરૂમમાં દાખલ થયો.,1
106,ગમે તેમ કરીને માણસ અંદર આવે છે.,તે માણસ રૂમમાં દાખલ થયો.,0
107,ગમે તેમ કરીને માણસ અંદર આવે છે.,તે માણસ બીજી તરફ ભાગ્યો.,2
108,"અમ, મારા દાદા દાદી હંમેશા ખૂબ જ પ્રેમાળ લોકો હતા અને કેટલાક, મારા માતા-પિતા હતા અને અમારે ત્યાં ખૂબ જ સારો સમય પસાર થશે.",મારા દાદા-દાદીના ઘરે વાહન ચલાવવામાં ઘણો સમય લાગ્યો.,1
109,"અમ, મારા દાદા દાદી હંમેશા ખૂબ જ પ્રેમાળ લોકો હતા અને કેટલાક, મારા માતા-પિતા હતા અને અમારે ત્યાં ખૂબ જ સારો સમય પસાર થશે.",મારા દાદા દાદી ખૂબ જ પ્રેમાળ યુગલ હતા.,0
110,"અમ, મારા દાદા દાદી હંમેશા ખૂબ જ પ્રેમાળ લોકો હતા અને કેટલાક, મારા માતા-પિતા હતા અને અમારે ત્યાં ખૂબ જ સારો સમય પસાર થશે.",મારા દાદા દાદી હંમેશા ખૂબ જ વ્યગ્ર હતા અને અમને ક્યારેય તેમના ઘરે જવાનું પસંદ નહોતું.,2
111,મારી પાસે ગમે તે તમામ પ્રકારના દાખલ થવાનો સમય નહોતો.,હું તેને પછીથી દાખલ કરવાનું સમાપ્ત કરી શક્યો હોત.,1
112,મારી પાસે ગમે તે તમામ પ્રકારના દાખલ થવાનો સમય નહોતો.,હું સમયસર તે બધામાં દાખલ થયો.,2
